src,tgt,complexity_score,quality_score,tagalog_complexity,is_augmented,uses_calamancy
Hahaha ... @_Nahleng _ ohhh Di ba .. Beke nemen .. 😂,hahaha . ohhh di ba .. beke nemen .,5.6,0.6,0.0,False,True
Bes isang nomination lang ? ?,bes isang nomination lang ?,3.8,0.6,0.0,False,True
oo beh 😭 maski folklore lps di nominated 😭,oo beh maski folklore lps di nominated .,4.7,0.8,0.0,False,True
"yes , pero sinubmit nya yung folklore long pond sessions for best music film pero snubbed","yes , pero sinubmit nya yung folklore long pond sessions for best music film pero snubbed .",6.8,0.8,0.0,False,True
Anong ginawa nanaman nyan te hb ka hahah,anong ginawa nanaman nyan te hb ka hahah .,4.4,0.8,0.0,False,True
di ba pangit ka bonding,di ba pangit ka bonding .,3.5,0.6,0.0,False,True
"Haphy ending naman   to  di ba ? Kasi kung hindi , ipilit natin , pls 😭 😭 😭","haphy ending naman   to   di ba ? kasi kung hindi , ipilit natin , please .",9.4,0.8,0.0,False,True
Di ba 👉 👈,di ba .,3.2,0.6,0.0,False,True
UY BEH AKOOOO .. hindi player,uy beh akoooo .. hindi player .,3.8,0.6,0.0,False,True
"Haphy endi naman   to  di ba ? Kasi kung hindi , ipilit natin , pls 😭 😭 😭","haphy ending naman   to   di ba ? kasi kung hindi , ipilit natin , please .",7.4,0.8,0.0,True,True
beh bkt 😔 😔 😔 😔 😔 😔 😔 😔 bkt k pa nagreply,beh bkt bkt k pa nagreply .,7.45,0.8,0.5,False,True
Huwag mo kasi akong imute para may loveteam . 😂 😂 😂,huwag mo kasi akong imute para may loveteam .,6.85,0.8,0.5,False,True
Wag kayo seryoso talaga ang ate Sheng 😅 @SB19Official # SB19 # Bazinga_SB19,wag kayo seryoso talaga ang ate sheng .,7.15,0.7,0.5,False,True
hoy may paspace si jini space din kayo pabasa uli @fyeahaetzy di ba @yjmnss,hoy may paspace si jini space din kayo pabasa uli di ba .,7.45,0.8,0.5,False,True
Ahh okay . Im expecting kase meron sya more than 2 nomination,ahh okay . im expecting kase meron siya more than to nomination .,8.1,0.8,1.0,False,True
Saka may limitations siguro sa contract niya dati . I m sure mas may control siya sa contract niya ngayon .,saka may limitations siguro sa contract niya dati . i m sure mas may control siya sa contract niya ngayon .,10.8,0.9,1.0,False,True
Quota na daw si taylor sa grammys eh Hahhaha charrr,quota na daw si taylor sa grammys eh hahhaha charrr .,7.5,0.7,1.0,False,True
User talaga kayo 😭 di ba kayo aangat pag wla boys namin ?,user talaga kayo di ba kayo aangat pag wla boys namin ?,9.65,0.8,1.5,False,True
Di ba sila nominated ? Teka di ako masyado updated di ako masyado nag iiscroll madalas 😂,di ba sila nominated ? teka di ako masyado updated di ako masyado nag iiscroll madalas .,14.85,0.8,1.5,False,True
Sa isa lang sila na nominate same as last year tas ung iba wala na i mean hahaha wtf 🤣,sa isa lang sila na nominate same as last year tas ung iba wala na i mean hahaha wtf .,11.75,0.9,1.5,False,True
the trauma u gave me tapos ganyan ka ngayon . ang tanda mo na di ba uso character development,the trauma ikaw gave me tapos ganyan ka ngayon . ang tanda mo na di ba uso character development .,11.45,0.9,1.5,False,True
Hahahaha nakaka gg kasi teh 😂,hahahaha nakaka gg kasi teh .,7.55,0.8,1.5,False,True
Di ba they tried it before Sineserye ata yun at Komiks pero di gaanobg kibagat kasi 2 months na yung pinakamatagal ?,di ba they tried it before sineserye ata yun at komiks pero di gaanobg kibagat kasi to months na yung pinakamatagal ?,13.6,0.8,2.0,False,True
Puro coffee date yaya ng mga to amputa siguro masyadong oa pagka manifest ko ng starbucks planner ah . di ba pwedeng gcash date na lang ?,puro coffee date yaya ng mga to amputa siguro masyadong oa pagka manifest ko ng starbucks planner ah . di ba pwedeng gcash date na lang ?,15.1,0.9,2.0,False,True
Today with @SB19Official Si @stellajero _ as usual ... Full video soon :) # SB19OZMediaCon,today with si as usual . full video soon .,11.5,0.6,2.0,False,True
Saan ko ba naman mukukuha ang mga Bea story kung nakamute ka 🤣,saan ko ba naman mukukuha ang mga bea story kung nakamute ka .,12.15,0.9,2.5,False,True
Di ba beh nanalo na yung folklore last year ng aoty ?,di ba beh nanalo na yung folklore last year ng aoty ?,11.85,0.9,2.5,False,True
True ganda pa BGYO GELO CONCEPT ART # BGYOkundiman @bgyo_ph,true ganda pa bgyo gelo concept art .,11.25,0.6,2.5,False,True
kaya nga di ba ang tanga niyo lang @PBBabscbn,kaya nga di ba ang tanga niyo lang .,14.2,0.9,3.0,False,True
Gigil iiglip sana ako nabuwiset pa,gigil iiglip sana ako nabuwiset pa .,11.3,0.8,3.0,False,True
Ano pa asahan natin sa granmnys 🤡 🤡 🤡,ano pa asahan natin sa granmnys .,12.2,0.9,3.0,False,True
HUDAS ! ? ? SINONG HUDAS ? PPPSSSTTT FRAILTIES OF A WOMAN- DI BA IKAW ANG HUDAS — DRIVER MO MAYROON ASAWA PINATULAN MO ? GUSTONG MONG KAININ PALA IS WAS “ SABA VARIETY OF BANANAS ”,hudas ! ? ? sinong hudas ? frailties of a woman- di ba ikaw ang hudas driver mo mayroon asawa pinatulan mo ? gustong mong kainin pala is was saba variety of bananas .,21.85,0.7,3.5,False,True
"Non - athlete here pero to these organization / s , di ba kayo nababahala na how many sportsmen hace changed their citizenship because of our system ? Peraan na lang ? Hindi ba iko - consider how much the athletes spent their pockets while you re aiding them as small as grain of rice .","non - athlete here pero to these organizations , di ba kayo nababahala na how many sportsmen hace changed their citizenship because of our system ? peraan na lang ? hindi ba iko - consider how much the athletes spent their pockets while you re aiding them as small as grain of rice .",27.55,0.8,3.5,False,True
beh sama ng loob nakuha naten tangina,beh sama ng loob nakuha naten tangina .,12.85,1.0,3.5,False,True
"NOMINATIONS FOR BIEBER , SILK SONIC , OLIVIA RODRIGO AND BTS ARE EXPECTED . BUT TAYLOR SWIFT DID 4 ALBUMS IN A ROW THEN THAT WAS IT ? 🙄 BUT I WAS SURPRISED TO SEE BAD HABITS BY ED SHEERAN . 😁","nominations for bieber , silk sonic , olivia rodrigo and bts are expected . but taylor swift did for albums in a row then that was it ? but i was surprised to see bad habits by ed sheeran .",24.6,0.6,4.0,False,True
bakit naman hindi  di ba stell HAHAHAHAH lahat ng jingle nila parang kanta na rin naman nila . @SB19Official # SB19 # SB19OZMediaCon # SB19OZAnnivConcert # SB19Anniv3rsary # Bazinga_SB19,bakit naman hindi   di ba stell hahahahah lahat ng jingle nila parang kanta na rin naman nila .,23.2,0.9,5.0,False,True
