id,text
1463214161169567744,"I refuse to think this is cultural, this is just straight up evil. To these officials, have some shame for once."
1463212768916480005,Im so soft for this huhu 🥺🥺
1463240325632249857,"So basically, he died with covid. Not of covid."
1463222298412937216,good morning to addam from xenoblade chronicles ii: torna: the golden country expansion dlc
1463222606996201478,y’all r lucky I don’t have a capture card for my switch y’all do not wanna watch me play xenoblade I promise
1463118214242742274,"""Hah!"", Jerry thought to himself. ""I look foot"""
1463223462466441219,hey quick question WHAT
1463232080289189891,Uh
1463081691048660994,Yes kudos to the people behind this wonderful concept.. BGYO GELO CONCEPT ART #BGYOkundiman @bgyo_ph
1463209551579467777,ratio is 3 wins over 5 AOTY noms omg
1463180009644961798,17:17 OZ Tix Cutie 👉👈😅
1463141595763679239,lo que hay que hacer para que te retiren una demanda #CarlotaFraude
1463237927874539520,"Esta tipa no sabe que hacer para sobresalir y seguir teniendo su silla en sálvame, lo mismo habla por ☎️ con Dolores Vázquez que ahora dice que apoya a Olga. #CarlotaFraude"
1463220493037842433,Listen to her lmfao what the hell do you mean?
1463092638001754115,tamah walang maleh ms. quincy 😭
1462981837135900678,"Grocery scammers seem to be targeting opposition figures. Yesterday, someone ordered P100k worth of Metromart groceries under the name of presidential bet and VP Leni Robredo on a cash on delivery basis. The items have been returned and the riders were not charged. | @maracepeda"
1463078981737979905,hala gagi kinuha akong ninang nung tomboy kong kaklase 😭😭😭😭
1463084577367330817,sorry pOh🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺
1463079913611665410,Kabado bente #RushHour #MONSTAX #몬스타엑스 @OfficialMonstaX
1463082275495546888,"""My gf won't knaurrrrr"" asdhfkdk"
1463240589982453763,Definitivamente YouTube me odia. Directo desmonetizado! Extracto del directo desmonetizado. Eso sí gracias por monetizarme el video de Juanca que generará 2 euros jajajaja!
1463244365149741060,"Pues vaya con YouTube, a un tío como tu que nos haces reír y ser felices te desmonetizan tus directos y a otros que solo saben dar pena y dar puyitas sibilinamente hasta le premian, el mundo al revés, vamos!!!🤦‍♀️😘😘😘"
1463098903725690885,down parrehhh 👀🤣
1463082486242713606,"OK, cards on the table. I'm not a legal expert, so I can't tell you whether or not Kyle Rittenhouse broke the law. But I can tell you this. If he didn't break the law, we should change the law. -Stephen Colbert"
1463242653215215617,Colbert has a security squad of probably a dozen dudes with guns. He has no business commenting on self-defense.
1463049539598708736,Hmmm ate hazel haha #DeannaWong | Deanna Wong
1463049869896077312,Wag tawa admin rufa ambag #DeannaWong| Deanna Wong
1463226783789027329,JUST GOT SHIPMENT NOTIF FOR THE SIGNORA COSPLAY WHATS GOOD YALL
1463240279956209664,Yessss
1463145975493521411,What fcukery is this now? Is there nothing she won't try? 🤭🤭🤭
1463165774483369994,The thing about the Turkey day games is this to me: Why would you not want your best teams playing on a day everybody is watching?
1463081050754596865,😭😭😭
1461860336458289154,"Media is obviously unfair about BBM and Duterte, halatang they were controlled by oligarchs."
1461869905331036161,#BBM2022 ✌🏻🇵🇭
1461888475377008640,BOY SINGHOT😂😂😂
1462557074747969543,🤣😳😁
1463080333604175874,"""did you fart?"" 😭 #jirisan"
1463080788346376201,HAHAHAHHAHAHAHAHA 🤣🤣
1463081086234202114,nanisi agad HAAHAHHAHA
1463270401698500611,😭😭😭
1463204561661816832,The record and song that broke their records all was not nominated 🙄 Gram/my’s such a disappointment wbk
1463195890554863628,oct libra cuties
1463194508087099394,HAHAHAHAHAHAHAHAHAHHAHAHAJA pota same struggle
1463190542255214596,this is why they're deprived of content they somehow deserved it
1463196770519826434,yeah ikr 😔
1463195076016758784,16 VIEWS 🤣🤣🤣 the 16 views: lou
1463195860590727174,STFUU just wanted to recommend it bc it’s rlly good
1463163669697683460,Pusa mo yan dai?
1463184676630134789,Lakas mo maka krist dyan. Haha
1463192571782758400,nanonood piii
1463183125861699586,6AM 😭😭😭😭
1463201121082789897,Minkiaaaa io me lo sono sognata stanotte... A una festa.. Porca troia.. Posso dirlo???
1463201796873142278,Devi ahahah
1463746712699383808,Coooosa? Dove lo hai letto?
1463754948840148992,Ig! Ti mando il link
1463201953291419659,Minkia che culo sta bambina
1463193680118910976,ibigay kay cardi b ‘yang trabaho niya HAHAHAHHAHA
1463664092065898500,LOL😆😂
1463180462717767680,lagi nalang😭
1463208714475753475,True hahshaha
1463168450960969736,im going insane everything about them looks promising i already have 3 biases wtf jfdjdkdjs the performances videos IM A CRYING MESS THEYRE SO GOOD 😭😭😭
1463178864234930176,"yes xh!!! 😭😭 gaon, jooyeon and gunil caught my eye first i cant wait to see more from them!! and i love their sound already?? looks promising"
1463182855618527239,PLEASE their vocals 🥲 what im looking forward to the most!! love the way they introduced the members too
1463185633443479553,yung cabbage diba round yun
1463055689769963521,LOOK: Presidential aspirant Ferdinand Marcos Jr.’s negative cocaine test result. Marcos took the drug test following President Rodrigo Duterte’s claim that a presidential bet is a cocaine-user. (📸Marcos chief-of-staff Vic Rodriguez) | @DYGalvezINQ
1463171785621446664,- very good 5 points - pake mo @03spicyzz
1463172536456392708,- himala - @kixrubyjane tuloy mo daw be
1463177555897307136,ok that's it for my TEDtalk
1463168607987372041,markk
1463168985831288832,sha yong nakagreenn
1462834623252209668,"If you're seeing some lunacy about a person of interest who was detained re: Waukesha, here's a brief window into how the right-wing disinfo machine works. It starts with Andy Ngo, of course. First, another reporter—not Andy—does the actual work of finding the POI's record. 1/x"
1462834633930944514,That seems quite damning! What Ngo doesn't say is that the FB post was from a cop (who was later fired) and bragged about being able to get away w/running over protesters b/c of the privileges afforded members of law enforcement Not the same thing! 5/x twincities.com/2016/02/17/st…
1463164067598716934,"So, to clarify, the suspect did post about running people over. Good to know."
1463166194551341064,"Literally pointing out his appearance is racist now? Come on. They’re flagrantly guilty, but don’t bring race into it."
1463163392898879489,That’s just a lie. He posted pictures of a watermelon carved into the BLM fist.
1463175936711577604,ilang minutes? 🙄
1463169524463718409,"help me choose 😖 1, 2, 3, or 4??"
1463314127300952066,TOTOOOOOO
1463184754606755841,yes tamah
1462689539533725700,🧋🧋🧋 didn’t know that boba emoji exists!! 😂
1463189498909663236,Disgruntled ANC voters are easy to spot. 🤣🤣
1463159973828083717,hOY TOTOO SO MUCH AHAHAHAHAHA
1463188607632437255,who....SINO HUH
1463190138368913409,HAHAHAHAHAHHA HE MESSAGED ME 3 MINS AGO
1463260070989512710,awit ate yubg akin andun naaalikabok’sn HAHAHAHAHAHAHKSHAKAHK
1463172416570638353,Ano muna walGAS petron bayun🤣
1463125369511288835,minsan ✌ HAHAHAHAHAHAHA CAPRI
1463166740234481666,ugali huh
