id,text,preprocessed_text
1463214900570853379,Puro coffee date yaya ng mga to amputa siguro masyadong oa pagka manifest ko ng starbucks planner ah. di ba pwedeng gcash date na lang?,puro coffee date yaya ng mga to amputa siguro masyadong oa pagka manifest ko ng starbucks planner ah. di'ba pwedeng gcash date na lang?
1463215830712270857,Di ba nag open up si Anji ky Kyle..unlike nung una na sobrang dala ng bugso ng damdamin at sa ayaw nya may masabi si TJ.,di'ba nag open up si anji ky nung una na sobrang dala ng bugso ng damdamin at sa ayaw nya may masabi si tj.
1463216003253366786,"Kasi if it's not legit, the mere mention of St Luke's as the testing center, St Luke's could have reacted right away, di ba? But so far, wala namang ganoon...DESPERADA lang ba talaga sila na mapatalsik si BBM🤦🤦🤦","kasi if it's not legit, the mere mention of st luke's as the testing center, st luke's could have reacted right away, di'ba? but so far, wala namang lang ba talaga sila na mapatalsik si bbm."
1463216381134995457,UY BEH AKOOOO .. hindi player,uy beh akoooo.. hindi player.
1463216766654418949,beh bkt 😔😔😔😔😔😔😔😔 bkt k pa nagreply,beh bkt bkt k pa nagreply.
1463217197879226369,"inaupdate lang kita beh baka kasi sa susunod alam mo na, hindi pa rin ako player pero at least updated ka beh di ba say uwu nga kung agree ka 🥺🥺🥺🥺🥺🥺","inaupdate lang kita beh baka kasi sa susunod alam mo na, hindi pa rin ako player pero at least updated ka beh di'ba say uwu nga kung agree ka."
1463217439936708608,u-uwu 🥺🥺🥺🥺🥺🥺🥺,ikaw-uwu.
1463210231161257984,beh sama ng loob nakuha naten tangina,beh sama ng loob nakuha naten tangina.
1463216813123072001,di ba pangit ka bonding,di'ba pangit ka bonding.
1463212650658086915,D ko malaman kung bobo si grannys o ano ? Lakas mo lakas mong mambwiset 😂 D naman na kame nageexpect sayo pero POTANGNAMO TALAGA,d ko malaman kung bobo si grannys o ano? lakas mo lakas mong mambwiset d naman na kame nageexpect sayo pero potangnamo talaga.
1463214284314271746,Anong ginawa nanaman nyan te hb ka hahah,anong ginawa nanaman nyan te hb ka hahah.
1463214464170217475,Hahahaha nakaka gg kasi teh 😂,hahahaha nakaka gg kasi teh.
1463214664372813827,Di ba sila nominated? Teka di ako masyado updated di ako masyado nag iiscroll madalas 😂,di'ba sila nominated? teka di ako masyado updated di ako masyado nag iiscroll madalas.
1463214910838476800,Sa isa lang sila na nominate same as last year tas ung iba wala na i mean hahaha wtf 🤣,sa isa lang sila na nominate same as last year tas ung iba wala na i mean hahaha wtf.
1463214159156289539,"Non-athlete here pero to these organization/s, di ba kayo nababahala na how many sportsmen hace changed their citizenship because of our system? Peraan na lang? Hindi ba iko-consider how much the athletes spent their pockets while you're aiding them as small as grain of rice.","non-athlete here pero to these organizations, di'ba kayo nababahala na how many sportsmen hace changed their citizenship because of our system? peraan na lang? hindi ba iko-consider how much the athletes spent their pockets while you're aiding them as small as grain of rice."
1463214163166068739,Gigil iiglip sana ako nabuwiset pa,gigil iiglip sana ako nabuwiset pa.
1463206191106912261,"NOMINATIONS FOR BIEBER, SILK SONIC, OLIVIA RODRIGO AND BTS ARE EXPECTED. BUT TAYLOR SWIFT DID 4 ALBUMS IN A ROW THEN THAT WAS IT? 🙄 BUT I WAS SURPRISED TO SEE BAD HABITS BY ED SHEERAN.😁","nominations for bieber, silk sonic, olivia rodrigo and bts are expected. but taylor swift did for albums in a row then that was it? but i was surprised to see bad habits by ed sheeran."
1463211669073530887,Quota na daw si taylor sa grammys eh Hahhaha charrr,quota na daw si taylor sa grammys eh hahhaha charrr.
1463212250131353604,BAKA NAMAN SI JAYZ AND DRAKE KUMOTA NA DIN DI BA HAHAHAHA EVERY YEAR UNG DALAWANG UN HAHAHAHAHAHAHAHAHA,baka naman si jayz and drake kumota na din di'ba hahahaha every year ung dalawang un hahahahahahahahaha.
1463215935628582917,Ano pa asahan natin sa granmnys 🤡🤡🤡,ano pa asahan natin sa granmnys.
1463084149250539523,hoy may paspace si jini space din kayo pabasa uli @fyeahaetzy di ba @yjmnss,hoy may paspace si jini space din kayo pabasa uli di'ba.
1463211331637571587,User talaga kayo 😭 di ba kayo aangat pag wla boys namin?,user talaga kayo di'ba kayo aangat pag wla boys namin?
1463217238740127745,Di ba 👉👈,di'ba.
1463212091821551616,kaya nga di ba ang tanga niyo lang @PBBabscbn,kaya nga di'ba ang tanga niyo lang.
1463239799536377865,the trauma u gave me tapos ganyan ka ngayon. ang tanda mo na di ba uso character development,the trauma ikaw gave me tapos ganyan ka ngayon. ang tanda mo na di'ba uso character development.
1462907492220952584,"Doug Jones, who had 62 saves in two seasons with the Astros, died from complications with COVID-19, according to former Astros and Indians teammate Greg Swindell. chron.com/sports/astros/arti…","doug jones, who had 62 saves in two seasons with the astros, died from complications with covid-19, according to former astros and indians teammate greg swindell."
1463063869161541635,Today with @SB19Official Si @stellajero_ as usual... Full video soon :) #SB19OZMediaCon,today with si as usual. full video soon.
1463084409641320451,bakit naman hindi 'di ba stell HAHAHAHAH lahat ng jingle nila parang kanta na rin naman nila. @SB19Official #SB19 #SB19OZMediaCon #SB19OZAnnivConcert #SB19Anniv3rsary #Bazinga_SB19,bakit naman hindi 'di'ba stell hahahahah lahat ng jingle nila parang kanta na rin naman nila.
1463222606996201478,y’all r lucky I don’t have a capture card for my switch y’all do not wanna watch me play xenoblade I promise,yall are lucky i dont have a capture card for my switch yall do not wanna watch me play xenoblade i promise.
1463077459079753733,Ang talino at ang galing ng nakaisip ng ganitong concept. Originally Filipino talaga. BGYO GELO CONCEPT ART #BGYOkundiman #BGYO @bgyo_ph,ang talino at ang galing ng nakaisip ng ganitong concept. originally filipino talaga. bgyo gelo concept art.
1463080285411561474,True ganda pa BGYO GELO CONCEPT ART #BGYOkundiman @bgyo_ph,true ganda pa bgyo gelo concept art.
1463081253658238982,Di ba? Kudos talaga sa management at sa buong team ng BGYO BGYO GELO CONCEPT ART #BGYOkundiman #BGYO @bgyo_ph,di'ba? kudos talaga sa management at sa buong team ng bgyo bgyo gelo concept art.
1463209551579467777,ratio is 3 wins over 5 AOTY noms omg,ratio is 3 wins over 5 aoty noms oh my god.
1463209836997328896,Bes isang nomination lang??,bes isang nomination lang?
1463210395792211968,oo beh 😭 maski folklore lps di nominated 😭,oo beh maski folklore lps di nominated.
1463210810558144516,Di ba beh nanalo na yung folklore last year ng aoty?,di'ba beh nanalo na yung folklore last year ng aoty?
1463211090955800576,"yes, pero sinubmit nya yung folklore long pond sessions for best music film pero snubbed","yes, pero sinubmit nya yung folklore long pond sessions for best music film pero snubbed."
1463212088059314180,Ahh okay. Im expecting kase meron sya more than 2 nomination,ahh okay. im expecting kase meron siya more than to nomination.
1463225480920764420,HUDAS!?? SINONG HUDAS? PPPSSSTTT FRAILTIES OF A WOMAN- DI BA IKAW ANG HUDAS— DRIVER MO MAYROON ASAWA PINATULAN MO? GUSTONG MONG KAININ PALA IS WAS “ SABA VARIETY OF BANANAS”,hudas!?? sinong hudas? frailties of a woman- di'ba ikaw ang hudas driver mo mayroon asawa pinatulan mo? gustong mong kainin pala is was saba variety of bananas.
1463212541887143943,"Haphy ending naman 'to 'di ba? Kasi kung hindi, ipilit natin, pls 😭😭😭","haphy ending naman 'to 'di'ba? kasi kung hindi, ipilit natin, please."
1463177917412917254,Ang TL ko nakakaloka. Bedscene. Calendar Girl mixed with football and basketball plus Phil politics. Pati ako nahihilo. 😳,ang tl ko nakakaloka. bedscene. calendar girl mixed with football and basketball plus phil politics. pati ako nahihilo.
1463227840573362189,Huwag mo kasi akong imute para may loveteam. 😂😂😂,huwag mo kasi akong imute para may loveteam.
1463232350578479104,Saan ko ba naman mukukuha ang mga Bea story kung nakamute ka 🤣,saan ko ba naman mukukuha ang mga bea story kung nakamute ka.
1463232963257188364,Inaabsorb ko pa nga pagiging calendar girl ni Bea. Hahahhaaha,inaabsorb ko pa'nga pagiging calendar girl ni bea. hahahhaaha.
1463234596011745288,Okay naman siya ha. Hindi cheap ang dating. Parang mga swimsuit lang naman na very sexy. Saka ganda niya ha. Blooming. Ganda pa ng shape. She needs to grow up already. Tanda na niya noh. Di na bagay pasweet. Saka mganda naman mga kuha. Masasanay ka din.,okay naman siya ha. hindi cheap ang dating. parang mga swimsuit lang naman na very sexy. saka ganda niya ha. blooming. ganda pa ng shape. she needs to grow up already. tanda na niya noh. di na bagay pasweet. saka mganda naman mga kuha. masasanay ka din.
1463237844475035654,"Alam ko nga matagal na syang kinukuha nyan, siguro ngayon nga lang sya pumayag dahil confident at di na mahigpit yng mgt nya. Syempre may image din naman dati na LL. Atsaka di ba problem nya din dati built nya.","alam ko'nga matagal na syang kinukuha nyan, siguro ngayon nga lang siya pumayag dahil confident at di na mahigpit yng mgt nya. syempre may image din naman dati na ll. atsaka di'ba problem nya din dati built nya."
1463246426989903874,Saka may limitations siguro sa contract niya dati. I'm sure mas may control siya sa contract niya ngayon.,saka may limitations siguro sa contract niya dati. i'm sure mas may control siya sa contract niya ngayon.
1462402546224361473,So mukhang ipupush talaga ng ABS-CBN ang limited episode and seasonal line up next year ha. New era of PH Television habit na talaga.,so mukhang ipupush talaga ng abs-cbn ang limited episode and seasonal line up next year ha. new era of ph television habit na talaga.
